geoName,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
Afghanistan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,58,14,9,12,7,11.15,53.54,64.69,35.69,18.6,14.23,18.6
American Samoa,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua & Barbuda,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,61,8,14,8,9,4.21,54.69,65.21,25.24,29.92,12.66,11.51
Armenia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,48,21,12,8,11,13.44,55.68,48.0,26.88,18.46,14.77,11.08
Austria,60,15,15,0,10,0.0,69.23,64.62,36.92,28.8,13.2,18.0
Azerbaijan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,59,9,12,14,6,7.61,34.26,70.42,19.03,18.0,8.0,15.0
Barbados,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,67,13,20,0,0,0.0,59.82,71.79,40.68,21.65,14.43,0.0
Belize,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,61,18,10,0,11,0.0,68.87,47.23,19.68,23.46,0.0,9.38
Bosnia & Herzegovina,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouvet Island,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,61,9,13,9,8,78.43,55.19,69.71,26.14,34.16,12.2,14.64
British Indian Ocean Territory,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,56,24,12,0,8,8.62,60.31,66.77,23.69,16.59,11.41,19.7
Bulgaria,70,16,14,0,0,0.0,56.88,56.88,35.0,20.91,0.0,0.0
Burkina Faso,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,53,19,7,9,12,0.0,43.65,40.53,18.71,11.3,9.56,13.03
Cameroon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,48,21,13,8,10,12.92,48.0,49.85,25.85,20.71,14.12,11.29
Cape Verde,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean Netherlands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,64,9,13,7,7,4.41,52.97,72.83,26.48,35.02,10.87,10.87
China,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christmas Island,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocos (Keeling) Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,63,9,11,9,8,0.0,41.4,55.8,19.8,27.63,9.95,9.95
Comoros,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo - Brazzaville,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo - Kinshasa,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Côte d’Ivoire,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,68,15,17,0,0,0.0,52.13,63.47,43.07,26.32,15.35,0.0
Djibouti,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,57,12,12,11,8,8.77,52.62,70.15,30.69,18.65,12.44,15.55
El Salvador,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eswatini,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,56,17,12,0,15,0.0,48.53,54.13,28.0,30.86,11.43,16.0
France,51,13,16,9,11,7.56,49.11,52.89,28.33,22.56,11.77,12.75
French Guiana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Southern Territories,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,52,13,13,10,12,5.78,46.22,53.93,34.67,25.47,13.8,14.86
Ghana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,69,14,17,0,0,25.88,56.06,73.31,207.0,30.36,16.56,22.08
Greenland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guernsey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heard & McDonald Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong,41,22,14,8,15,12.62,39.42,44.15,20.5,23.17,15.15,9.8
Hungary,60,15,14,0,11,0.0,51.43,68.57,34.29,28.16,14.69,19.59
Iceland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,56,12,12,11,9,11.59,42.48,61.79,21.24,12.85,9.18,13.77
Indonesia,67,9,9,10,5,7.66,32.54,65.09,19.14,11.82,5.91,13.79
Iran,73,11,7,9,0,6.84,54.75,75.28,18.25,16.59,7.74,13.27
Iraq,67,15,6,12,0,7.66,42.11,44.03,30.63,20.1,10.05,14.52
Ireland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isle of Man,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,57,11,14,9,9,4.56,61.56,68.4,36.48,26.31,13.15,13.15
Jamaica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,36,11,17,8,28,72.0,40.8,36.0,55.2,33.68,34.84,11.61
Jersey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,48,17,14,11,10,10.91,52.36,72.0,34.91,16.0,13.18,16.94
Kenya,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiribati,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liechtenstein,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macao,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,52,17,11,11,9,9.63,57.78,50.07,23.11,15.79,12.07,13.0
Maldives,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinique,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayotte,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,64,9,13,7,7,4.0,42.0,68.0,22.0,26.48,9.93,9.93
Micronesia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldova,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,57,18,9,10,6,0.0,0.0,0.0,0.0,13.41,0.0,13.41
Montenegro,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,56,15,10,11,8,8.3,41.48,66.37,35.26,19.35,12.22,14.25
